InChI Key	SMILES	Occurrences
VLTRZXGMWDSKGL-UHFFFAOYSA-M	Cl(=O)(=O)(=O)[O-]	27
CBMIPXHVOVTTTL-UHFFFAOYSA-N	[Au+3]	27
LOUPRKONTZGTKE-WZBLMQSHSA-N	C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@@H](c3ccnc4ccc(cc34)OC)O	26
QIQXTHQIDYTFRH-UHFFFAOYSA-M	CCCCCCCCCCCCCCCCCC(=O)[O-]	26
ROSDSFDQCJNGOL-UHFFFAOYSA-N	CNC	26
DEXRFGSLVVVTML-SQOUGZDYSA-N	C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)[O-]	25
CKHJYUSOUQDYEN-YPZZEJLDSA-N	[68Ga+3]	25
ZBKIUFWVEIBQRT-UHFFFAOYSA-N	[Au+]	25
VMQMZMRVKUZKQL-UHFFFAOYSA-N	[Cu+]	25
DHMQDGOQFOQNFH-UHFFFAOYSA-M	C(C(=O)[O-])N	24
WNLRTRBMVRJNCN-UHFFFAOYSA-N	C(CCC(=O)O)CC(=O)O	24
PIICEJLVQHRZGT-UHFFFAOYSA-N	C(CN)N	24
MIOPJNTWMNEORI-GMSGAONNSA-N	CC1(C)[C@@H]2CC[C@@]1(CS(=O)(=O)O)C(=O)C2	24
AAORDHMTTHGXCV-UHFFFAOYSA-N	[U+6]	24
BVKZGUZCCUSVTD-UHFFFAOYSA-N	C(=O)(O)O	23
QPCDCPDFJACHGM-UHFFFAOYSA-I	C(CN(CC(=O)[O-])CC(=O)[O-])N(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-]	23
UGFAIRIUMAVXCW-UHFFFAOYSA-N	[C-]#[O+]	23
RJMMFJHMVBOLGY-UHFFFAOYSA-N	[In+3]	23
LRBQNJMCXXYXIU-PPKXGCFTSA-N	c1c(cc(c(c1O)O)O)C(=O)Oc2cc(cc(c2O)O)C(=O)OC[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)OC(=O)c4cc(c(c(c4)OC(=O)c5cc(c(c(c5)O)O)O)O)O)OC(=O)c6cc(c(c(c6)OC(=O)c7cc(c(c(c7)O)O)O)O)O)OC(=O)c8cc(c(c(c8)OC(=O)c9cc(c(c(c9)O)O)O)O)O)OC(=O)c%10cc(c(c(c%10)OC(=O)c%11cc(c(c(c%11)O)O)O)O)O	23
WPYMKLBDIGXBTP-UHFFFAOYSA-M	c1ccc(cc1)C(=O)[O-]	23
VKYKSIONXSXAKP-UHFFFAOYSA-N	C1N2CN3CN1CN(C2)C3	22
ZQPPMHVWECSIRJ-KTKRTIGZSA-M	CCCCCCCC/C=C\CCCCCCCC(=O)[O-]	22
DHVVKVAWLAZKCZ-JCYAYHJZSA-N	[C@@H]([C@H](C(=O)O)[O-])(C(=O)O)[O-]	22
FEWJPZIEWOKRBE-LWMBPPNESA-N	[C@H]([C@@H](C(=O)O)O)(C(=O)O)O	22
CKHJYUSOUQDYEN-UHFFFAOYSA-N	[Ga+3]	22
CZMAIROVPAYCMU-UHFFFAOYSA-N	[La+3]	22
BODKAQWWZBLGOU-UHFFFAOYSA-N	c1ccc(cc1)[Hg+]	22
HPNMFZURTQLUMO-UHFFFAOYSA-N	CCNCC	21
NBIIXXVUZAFLBC-UHFFFAOYSA-M	OP(=O)(O)[O-]	21
PSDMOPINLDTFSZ-NJFSPNSNSA-N	[177Lu+3]	21
SRSXLGNVWSONIS-UHFFFAOYSA-M	c1ccc(cc1)S(=O)(=O)[O-]	21
DHMQDGOQFOQNFH-UHFFFAOYSA-N	C(C(=O)O)N	20
CCIVGXIOQKPBKL-UHFFFAOYSA-N	CCS(=O)(=O)O	20
ULGZDMOVFRHVEP-RWJQBGPGSA-N	CC[C@@H]1[C@](C)([C@@H]([C@@H](C)C(=O)[C@H](C)C[C@](C)([C@@H]([C@@H](C)[C@@H]([C@@H](C)C(=O)O1)O[C@H]2C[C@](C)([C@H]([C@H](C)O2)O)OC)O[C@H]3[C@@H]([C@H](C[C@@H](C)O3)N(C)C)O)O)O)O	20
JUHORIMYRDESRB-UHFFFAOYSA-N	c1ccc(cc1)CNCCNCc2ccccc2	20
BVKZGUZCCUSVTD-UHFFFAOYSA-M	C(=O)(O)[O-]	19
BDAGIHXWWSANSR-UHFFFAOYSA-M	C(=O)[O-]	19
WHUUTDBJXJRKMK-VKHMYHEASA-N	C(CC(=O)O)[C@@H](C(=O)O)N	19
YNAVUWVOSKDBBP-UHFFFAOYSA-N	C1COCCN1	19
MOTZDAYCYVMXPC-UHFFFAOYSA-N	CCCCCCCCCCCCOS(=O)(=O)O	19
DZLFLBLQUQXARW-UHFFFAOYSA-N	CCCC[N+](CCCC)(CCCC)CCCC	19
VLTRZXGMWDSKGL-UHFFFAOYSA-N	Cl(=O)(=O)(=O)O	19
QYHFIVBSNOWOCQ-UHFFFAOYSA-L	O=[Se](=O)([O-])[O-]	19
NBIIXXVUZAFLBC-UHFFFAOYSA-L	OP(=O)([O-])[O-]	19
PXQPEWDEAKTCGB-UHFFFAOYSA-N	c1c(C(=O)O)[nH]c(=O)[nH]c1=O	19
YGSDEFSMJLZEOE-UHFFFAOYSA-M	c1ccc(c(c1)C(=O)[O-])O	19
BDAGIHXWWSANSR-UHFFFAOYSA-N	C(=O)O	18
ANICIGAOPTXGND-UHFFFAOYSA-N	CC(C(=O)O)[O-]	18
ZQPPMHVWECSIRJ-KTKRTIGZSA-N	CCCCCCCC/C=C\CCCCCCCC(=O)O	18
XPPKVPWEQAFLFU-UHFFFAOYSA-J	O=P([O-])([O-])OP(=O)([O-])[O-]	18
GKLVYJBZJHMRIY-OUBTZVSYSA-N	[99Tc]	18
ZCDOYSPFYFSLEW-UHFFFAOYSA-N	[Cr](=O)(=O)([O-])[O-]	18
MPMYQQHEHYDOCL-UHFFFAOYSA-N	[NaH]	18
RWMKKWXZFRMVPB-UHFFFAOYSA-N	[Si+4]	18
