InChI Key	SMILES	Occurrences
VEXZGXHMUGYJMC-UHFFFAOYSA-N	Cl	7206
FKNQFGJONOIPTF-UHFFFAOYSA-N	[Na+]	3488
XLYOFNOQVPJJNP-UHFFFAOYSA-N	O	1608
NPYPAHLBTDXSSS-UHFFFAOYSA-N	[K+]	811
XLYOFNOQVPJJNP-UHFFFAOYSA-M	[OH-]	791
CPELXLSAUQHCOX-UHFFFAOYSA-N	Br	645
BHPQYMZQTOCNFJ-UHFFFAOYSA-N	[Ca+2]	526
QAOWNCQODCNURD-UHFFFAOYSA-N	OS(=O)(=O)O	510
AFVFQIVMOAPDHO-UHFFFAOYSA-N	CS(=O)(=O)O	350
XMBWDFGMSWQBCA-UHFFFAOYSA-N	I	326
JLVVSXFLKOJNIY-UHFFFAOYSA-N	[Mg+2]	316
QGZKDVFQNNGYKY-UHFFFAOYSA-N	N	300
QTBSBXVTEAMEQO-UHFFFAOYSA-N	CC(=O)O	280
GPRLSGONYQIRFK-UHFFFAOYSA-N	[H+]	277
REDXJYDRNCIFBQ-UHFFFAOYSA-N	[Al+3]	270
VZCYOOQTPOCHFL-UPHRSURJSA-N	OC(=O)/C=C\C(O)=O	259
PTFCDOFLOPIGGS-UHFFFAOYSA-N	[Zn+2]	241
VEXZGXHMUGYJMC-UHFFFAOYSA-M	[Cl-]	240
FEWJPZIEWOKRBE-JCYAYHJZSA-N	[C@@H]([C@H](C(=O)O)O)(C(=O)O)O	214
NBIIXXVUZAFLBC-UHFFFAOYSA-N	OP(=O)(O)O	212
JPVYNHNXODAKFH-UHFFFAOYSA-N	[Cu+2]	172
VZCYOOQTPOCHFL-OWOJBTEDSA-N	OC(=O)/C=C/C(O)=O	164
KRKNYBCHXYNGOX-UHFFFAOYSA-N	C(C(=O)O)C(CC(=O)O)(C(=O)O)O	162
VTLYFUHAOXGGBS-UHFFFAOYSA-N	[Fe+3]	139
HBBGRARXTFLTSG-UHFFFAOYSA-N	[Li+]	139
JZMJDSHXVKJFKW-UHFFFAOYSA-M	COS(=O)(=O)[O-]	126
CWYNVVGOOAEACU-UHFFFAOYSA-N	[Fe+2]	124
QAOWNCQODCNURD-UHFFFAOYSA-L	O=S(=O)([O-])[O-]	120
JOXIMZWYDAKGHI-UHFFFAOYSA-N	Cc1ccc(cc1)S(=O)(=O)O	116
QTBSBXVTEAMEQO-UHFFFAOYSA-M	CC(=O)[O-]	110
KDYFGRWQOYBRFD-UHFFFAOYSA-N	C(CC(=O)O)C(=O)O	99
MUBZPKHOEPUJKR-UHFFFAOYSA-N	C(=O)(C(=O)O)O	98
NHNBFGGVMKEFGY-UHFFFAOYSA-N	[N+](=O)([O-])[O-]	97
XDFCIPNJCBUZJN-UHFFFAOYSA-N	[Ba+2]	95
KRHYYFGTRYWZRS-UHFFFAOYSA-N	F	90
WAEMQWOKJMHJLA-UHFFFAOYSA-N	[Mn+2]	85
GSEJCLTVZPLZKY-UHFFFAOYSA-N	C(CO)N(CCO)CCO	80
GRYLNZFGIOXLOG-UHFFFAOYSA-N	[N+](=O)(O)[O-]	77
AHKZTVQIVOEVFO-UHFFFAOYSA-N	[O-2]	72
BVKZGUZCCUSVTD-UHFFFAOYSA-L	C(=O)([O-])[O-]	71
LELOWRISYMNNSU-UHFFFAOYSA-N	C#N	70
XMBWDFGMSWQBCA-UHFFFAOYSA-M	[I-]	69
QGZKDVFQNNGYKY-UHFFFAOYSA-O	[NH4+]	65
XLJKHNWPARRRJB-UHFFFAOYSA-N	[Co+2]	64
FOIXSVOLVBLSDH-UHFFFAOYSA-N	[Ag+]	63
CPELXLSAUQHCOX-UHFFFAOYSA-M	[Br-]	63
KRKNYBCHXYNGOX-UHFFFAOYSA-K	C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O	62
JDIBGQFKXXXXPN-UHFFFAOYSA-N	[Bi+3]	61
KDXKERNSBIXSRK-YFKPBYRVSA-N	C(CCN)C[C@@H](C(=O)O)N	59
BFGKITSFLPAWGI-UHFFFAOYSA-N	[Cr+3]	59
RVPVRDXYQKGNMQ-UHFFFAOYSA-N	[Pb+2]	59
HRGDZIGMBDGFTC-UHFFFAOYSA-N	[Pt+2]	59
PWYYWQHXAPXYMF-UHFFFAOYSA-N	[Sr+2]	58
HZAXFHJVJLSVMW-UHFFFAOYSA-N	C(CO)N	57
JVTAAEKCZFNVCJ-UHFFFAOYSA-N	CC(C(=O)O)O	57
ZBCBWPMODOFKDW-UHFFFAOYSA-N	C(CO)NCCO	56
ODKSFYDXXFIFQN-BYPYZUCNSA-N	C(C[C@@H](C(=O)O)N)CNC(=N)N	54
MBBZMMPHUWSWHV-BDVNFPICSA-N	CNC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O	52
GBNDTYKAOXLLID-UHFFFAOYSA-N	[Zr+4]	51
YGSDEFSMJLZEOE-UHFFFAOYSA-N	c1ccc(c(c1)C(=O)O)O	51
